Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35008,"Brampton Centre","Brampton-Centre"," 1","Brampton",N,N,"",0,436,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,4
35008,"Brampton Centre","Brampton-Centre"," 1","Brampton",N,N,"",0,436,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35008,"Brampton Centre","Brampton-Centre"," 1","Brampton",N,N,"",0,436,"Gosal","","Bal","Conservative","Conservateur",Y,N,90
35008,"Brampton Centre","Brampton-Centre"," 1","Brampton",N,N,"",0,436,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,34
35008,"Brampton Centre","Brampton-Centre"," 1","Brampton",N,N,"",0,436,"Sangha","","Ramesh","Liberal","Libéral",N,Y,85
35008,"Brampton Centre","Brampton-Centre"," 2","Brampton",N,N,"",0,431,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,6
35008,"Brampton Centre","Brampton-Centre"," 2","Brampton",N,N,"",0,431,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,1
35008,"Brampton Centre","Brampton-Centre"," 2","Brampton",N,N,"",0,431,"Gosal","","Bal","Conservative","Conservateur",Y,N,86
35008,"Brampton Centre","Brampton-Centre"," 2","Brampton",N,N,"",0,431,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,36
35008,"Brampton Centre","Brampton-Centre"," 2","Brampton",N,N,"",0,431,"Sangha","","Ramesh","Liberal","Libéral",N,Y,55
35008,"Brampton Centre","Brampton-Centre"," 3","Brampton",N,N,"",1,302,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,4
35008,"Brampton Centre","Brampton-Centre"," 3","Brampton",N,N,"",1,302,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35008,"Brampton Centre","Brampton-Centre"," 3","Brampton",N,N,"",1,302,"Gosal","","Bal","Conservative","Conservateur",Y,N,55
35008,"Brampton Centre","Brampton-Centre"," 3","Brampton",N,N,"",1,302,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,34
35008,"Brampton Centre","Brampton-Centre"," 3","Brampton",N,N,"",1,302,"Sangha","","Ramesh","Liberal","Libéral",N,Y,56
35008,"Brampton Centre","Brampton-Centre"," 4","Brampton",N,N,"",0,334,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,2
35008,"Brampton Centre","Brampton-Centre"," 4","Brampton",N,N,"",0,334,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35008,"Brampton Centre","Brampton-Centre"," 4","Brampton",N,N,"",0,334,"Gosal","","Bal","Conservative","Conservateur",Y,N,53
35008,"Brampton Centre","Brampton-Centre"," 4","Brampton",N,N,"",0,334,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,16
35008,"Brampton Centre","Brampton-Centre"," 4","Brampton",N,N,"",0,334,"Sangha","","Ramesh","Liberal","Libéral",N,Y,90
35008,"Brampton Centre","Brampton-Centre"," 5","Brampton",N,N,"",1,323,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,3
35008,"Brampton Centre","Brampton-Centre"," 5","Brampton",N,N,"",1,323,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35008,"Brampton Centre","Brampton-Centre"," 5","Brampton",N,N,"",1,323,"Gosal","","Bal","Conservative","Conservateur",Y,N,67
35008,"Brampton Centre","Brampton-Centre"," 5","Brampton",N,N,"",1,323,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,25
35008,"Brampton Centre","Brampton-Centre"," 5","Brampton",N,N,"",1,323,"Sangha","","Ramesh","Liberal","Libéral",N,Y,54
35008,"Brampton Centre","Brampton-Centre"," 6","Brampton",N,N,"",0,323,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,5
35008,"Brampton Centre","Brampton-Centre"," 6","Brampton",N,N,"",0,323,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35008,"Brampton Centre","Brampton-Centre"," 6","Brampton",N,N,"",0,323,"Gosal","","Bal","Conservative","Conservateur",Y,N,51
35008,"Brampton Centre","Brampton-Centre"," 6","Brampton",N,N,"",0,323,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,34
35008,"Brampton Centre","Brampton-Centre"," 6","Brampton",N,N,"",0,323,"Sangha","","Ramesh","Liberal","Libéral",N,Y,59
35008,"Brampton Centre","Brampton-Centre"," 7","Brampton",N,N,"",0,440,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,8
35008,"Brampton Centre","Brampton-Centre"," 7","Brampton",N,N,"",0,440,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35008,"Brampton Centre","Brampton-Centre"," 7","Brampton",N,N,"",0,440,"Gosal","","Bal","Conservative","Conservateur",Y,N,98
35008,"Brampton Centre","Brampton-Centre"," 7","Brampton",N,N,"",0,440,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,28
35008,"Brampton Centre","Brampton-Centre"," 7","Brampton",N,N,"",0,440,"Sangha","","Ramesh","Liberal","Libéral",N,Y,91
35008,"Brampton Centre","Brampton-Centre"," 8","Brampton",N,N,"",0,289,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,5
35008,"Brampton Centre","Brampton-Centre"," 8","Brampton",N,N,"",0,289,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35008,"Brampton Centre","Brampton-Centre"," 8","Brampton",N,N,"",0,289,"Gosal","","Bal","Conservative","Conservateur",Y,N,49
35008,"Brampton Centre","Brampton-Centre"," 8","Brampton",N,N,"",0,289,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,17
35008,"Brampton Centre","Brampton-Centre"," 8","Brampton",N,N,"",0,289,"Sangha","","Ramesh","Liberal","Libéral",N,Y,66
35008,"Brampton Centre","Brampton-Centre"," 9","Brampton",N,N,"",1,306,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,2
35008,"Brampton Centre","Brampton-Centre"," 9","Brampton",N,N,"",1,306,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35008,"Brampton Centre","Brampton-Centre"," 9","Brampton",N,N,"",1,306,"Gosal","","Bal","Conservative","Conservateur",Y,N,55
35008,"Brampton Centre","Brampton-Centre"," 9","Brampton",N,N,"",1,306,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,23
35008,"Brampton Centre","Brampton-Centre"," 9","Brampton",N,N,"",1,306,"Sangha","","Ramesh","Liberal","Libéral",N,Y,72
35008,"Brampton Centre","Brampton-Centre"," 10","Brampton",N,N,"",1,447,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,4
35008,"Brampton Centre","Brampton-Centre"," 10","Brampton",N,N,"",1,447,"Chilelli","","Frank","Marxist-Leninist","Marxiste-Léniniste",N,N,3
35008,"Brampton Centre","Brampton-Centre"," 10","Brampton",N,N,"",1,447,"Gosal","","Bal","Conservative","Conservateur",Y,N,57
35008,"Brampton Centre","Brampton-Centre"," 10","Brampton",N,N,"",1,447,"Keenan","","Rosemary","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,32
35008,"Brampton Centre","Brampton-Centre"," 10","Brampton",N,N,"",1,447,"Sangha","","Ramesh","Liberal","Libéral",N,Y,115
35008,"Brampton Centre","Brampton-Centre"," 11","Brampton",N,N,"",2,384,"Bottcher","","Saul Marquard T.","Green Party","Parti Vert",N,N,7
