Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
10004,"Labrador","Labrador"," 1","Nain",N,N,"",1,309,"Jones","","Yvonne","Liberal","Libéral",Y,Y,145
10004,"Labrador","Labrador"," 1","Nain",N,N,"",1,309,"Penashue","","Peter","Conservative","Conservateur",N,N,18
10004,"Labrador","Labrador"," 1","Nain",N,N,"",1,309,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
10004,"Labrador","Labrador"," 2","Nain",N,N,"",5,443,"Jones","","Yvonne","Liberal","Libéral",Y,Y,189
10004,"Labrador","Labrador"," 2","Nain",N,N,"",5,443,"Penashue","","Peter","Conservative","Conservateur",N,N,14
10004,"Labrador","Labrador"," 2","Nain",N,N,"",5,443,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,26
10004,"Labrador","Labrador"," 3","Natuashish",N,N,"",0,474,"Jones","","Yvonne","Liberal","Libéral",Y,Y,51
10004,"Labrador","Labrador"," 3","Natuashish",N,N,"",0,474,"Penashue","","Peter","Conservative","Conservateur",N,N,42
10004,"Labrador","Labrador"," 3","Natuashish",N,N,"",0,474,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,27
10004,"Labrador","Labrador"," 4","Hopedale",N,N,"",3,431,"Jones","","Yvonne","Liberal","Libéral",Y,Y,197
10004,"Labrador","Labrador"," 4","Hopedale",N,N,"",3,431,"Penashue","","Peter","Conservative","Conservateur",N,N,18
10004,"Labrador","Labrador"," 4","Hopedale",N,N,"",3,431,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,10
10004,"Labrador","Labrador"," 5","Postville",N,N,"",0,140,"Jones","","Yvonne","Liberal","Libéral",Y,Y,62
10004,"Labrador","Labrador"," 5","Postville",N,N,"",0,140,"Penashue","","Peter","Conservative","Conservateur",N,N,9
10004,"Labrador","Labrador"," 5","Postville",N,N,"",0,140,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
10004,"Labrador","Labrador"," 6","Makkovik",N,N,"",1,263,"Jones","","Yvonne","Liberal","Libéral",Y,Y,121
10004,"Labrador","Labrador"," 6","Makkovik",N,N,"",1,263,"Penashue","","Peter","Conservative","Conservateur",N,N,9
10004,"Labrador","Labrador"," 6","Makkovik",N,N,"",1,263,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,12
10004,"Labrador","Labrador"," 7","Rigolet",N,N,"",0,215,"Jones","","Yvonne","Liberal","Libéral",Y,Y,107
10004,"Labrador","Labrador"," 7","Rigolet",N,N,"",0,215,"Penashue","","Peter","Conservative","Conservateur",N,N,12
10004,"Labrador","Labrador"," 7","Rigolet",N,N,"",0,215,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,8
10004,"Labrador","Labrador"," 8","North West River",N,N,"",0,453,"Jones","","Yvonne","Liberal","Libéral",Y,Y,181
10004,"Labrador","Labrador"," 8","North West River",N,N,"",0,453,"Penashue","","Peter","Conservative","Conservateur",N,N,26
10004,"Labrador","Labrador"," 8","North West River",N,N,"",0,453,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,40
10004,"Labrador","Labrador"," 9","Sheshatshiu",N,N,"",0,292,"Jones","","Yvonne","Liberal","Libéral",Y,Y,15
10004,"Labrador","Labrador"," 9","Sheshatshiu",N,N,"",0,292,"Penashue","","Peter","Conservative","Conservateur",N,N,64
10004,"Labrador","Labrador"," 9","Sheshatshiu",N,N,"",0,292,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,5
10004,"Labrador","Labrador"," 10","Sheshatshiu",N,N,"",0,602,"Jones","","Yvonne","Liberal","Libéral",Y,Y,58
10004,"Labrador","Labrador"," 10","Sheshatshiu",N,N,"",0,602,"Penashue","","Peter","Conservative","Conservateur",N,N,117
10004,"Labrador","Labrador"," 10","Sheshatshiu",N,N,"",0,602,"Rudkowski","","Edward","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,24
10004,"Labrador","Labrador"," 11","Happy Valley-Goose Bay",N,N,"",0,387,"Jones","","Yvonne","Liberal","Libéral",Y,Y,135
10004,"Labrador","Labrador"," 11","Happy Valley-Goose Bay",N,N,"",0,387,"Penashue","","Peter","Conservative","Conservateur",N,N,39
