Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 1","Ralston",N,N,"",2,352,"Allan","","Glen","Liberal","Libéral",N,N,30
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 1","Ralston",N,N,"",2,352,"Hillyer","","Jim","Conservative","Conservateur",Y,Y,134
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 1","Ralston",N,N,"",2,352,"Smith","","Brent","Green Party","Parti Vert",N,N,7
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 1","Ralston",N,N,"",2,352,"Turner","","John Clayton","Independent","Indépendant",N,N,2
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 1","Ralston",N,N,"",2,352,"Weir","","Erin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 2","Hilda",N,N,"",0,175,"Allan","","Glen","Liberal","Libéral",N,N,10
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 2","Hilda",N,N,"",0,175,"Hillyer","","Jim","Conservative","Conservateur",Y,Y,57
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 2","Hilda",N,N,"",0,175,"Smith","","Brent","Green Party","Parti Vert",N,N,2
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 2","Hilda",N,N,"",0,175,"Turner","","John Clayton","Independent","Indépendant",N,N,0
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 2","Hilda",N,N,"",0,175,"Weir","","Erin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,1
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 3","Schuler",N,N,"",0,174,"Allan","","Glen","Liberal","Libéral",N,N,11
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 3","Schuler",N,N,"",0,174,"Hillyer","","Jim","Conservative","Conservateur",Y,Y,114
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 3","Schuler",N,N,"",0,174,"Smith","","Brent","Green Party","Parti Vert",N,N,0
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 3","Schuler",N,N,"",0,174,"Turner","","John Clayton","Independent","Indépendant",N,N,0
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 3","Schuler",N,N,"",0,174,"Weir","","Erin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 4","Bowmanton",N,N,"",1,308,"Allan","","Glen","Liberal","Libéral",N,N,16
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 4","Bowmanton",N,N,"",1,308,"Hillyer","","Jim","Conservative","Conservateur",Y,Y,143
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 4","Bowmanton",N,N,"",1,308,"Smith","","Brent","Green Party","Parti Vert",N,N,4
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 4","Bowmanton",N,N,"",1,308,"Turner","","John Clayton","Independent","Indépendant",N,N,5
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 4","Bowmanton",N,N,"",1,308,"Weir","","Erin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,11
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 5","Dunmore",N,N,"",0,450,"Allan","","Glen","Liberal","Libéral",N,N,28
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 5","Dunmore",N,N,"",0,450,"Hillyer","","Jim","Conservative","Conservateur",Y,Y,212
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 5","Dunmore",N,N,"",0,450,"Smith","","Brent","Green Party","Parti Vert",N,N,1
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 5","Dunmore",N,N,"",0,450,"Turner","","John Clayton","Independent","Indépendant",N,N,3
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 5","Dunmore",N,N,"",0,450,"Weir","","Erin","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,15
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 6","Dunmore",N,N,"",0,414,"Allan","","Glen","Liberal","Libéral",N,N,22
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 6","Dunmore",N,N,"",0,414,"Hillyer","","Jim","Conservative","Conservateur",Y,Y,188
48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner"," 6","Dunmore",N,N,"",0,414,"Smith","","Brent","Green Party","Parti Vert",N,N,5
