Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
62001,"Nunavut","Nunavut"," 1","Grise Fiord",N,N,"",1,87,"Aglukkaq","","Leona","Conservative","Conservateur",Y,N,14
62001,"Nunavut","Nunavut"," 1","Grise Fiord",N,N,"",1,87,"Anawak","","Jack Iyerak","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,11
62001,"Nunavut","Nunavut"," 1","Grise Fiord",N,N,"",1,87,"Rocchi","","Spencer","Green Party","Parti Vert",N,N,0
62001,"Nunavut","Nunavut"," 1","Grise Fiord",N,N,"",1,87,"Tootoo","","Hunter","Liberal","Libéral",N,Y,22
62001,"Nunavut","Nunavut"," 2","Resolute Bay",N,N,"",0,145,"Aglukkaq","","Leona","Conservative","Conservateur",Y,N,15
62001,"Nunavut","Nunavut"," 2","Resolute Bay",N,N,"",0,145,"Anawak","","Jack Iyerak","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,18
62001,"Nunavut","Nunavut"," 2","Resolute Bay",N,N,"",0,145,"Rocchi","","Spencer","Green Party","Parti Vert",N,N,4
62001,"Nunavut","Nunavut"," 2","Resolute Bay",N,N,"",0,145,"Tootoo","","Hunter","Liberal","Libéral",N,Y,54
62001,"Nunavut","Nunavut"," 3A","Pond Inlet",N,N,"",3,487,"Aglukkaq","","Leona","Conservative","Conservateur",Y,N,92
62001,"Nunavut","Nunavut"," 3A","Pond Inlet",N,N,"",3,487,"Anawak","","Jack Iyerak","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,63
62001,"Nunavut","Nunavut"," 3A","Pond Inlet",N,N,"",3,487,"Rocchi","","Spencer","Green Party","Parti Vert",N,N,5
62001,"Nunavut","Nunavut"," 3A","Pond Inlet",N,N,"",3,487,"Tootoo","","Hunter","Liberal","Libéral",N,Y,79
62001,"Nunavut","Nunavut"," 3B","Pond Inlet",N,N,"",8,371,"Aglukkaq","","Leona","Conservative","Conservateur",Y,N,60
62001,"Nunavut","Nunavut"," 3B","Pond Inlet",N,N,"",8,371,"Anawak","","Jack Iyerak","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,53
62001,"Nunavut","Nunavut"," 3B","Pond Inlet",N,N,"",8,371,"Rocchi","","Spencer","Green Party","Parti Vert",N,N,1
62001,"Nunavut","Nunavut"," 3B","Pond Inlet",N,N,"",8,371,"Tootoo","","Hunter","Liberal","Libéral",N,Y,84
62001,"Nunavut","Nunavut"," 4","Arctic Bay",N,N,"",1,424,"Aglukkaq","","Leona","Conservative","Conservateur",Y,N,79
62001,"Nunavut","Nunavut"," 4","Arctic Bay",N,N,"",1,424,"Anawak","","Jack Iyerak","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,55
62001,"Nunavut","Nunavut"," 4","Arctic Bay",N,N,"",1,424,"Rocchi","","Spencer","Green Party","Parti Vert",N,N,4
62001,"Nunavut","Nunavut"," 4","Arctic Bay",N,N,"",1,424,"Tootoo","","Hunter","Liberal","Libéral",N,Y,63
62001,"Nunavut","Nunavut"," 5","Taloyoak",N,N,"",1,508,"Aglukkaq","","Leona","Conservative","Conservateur",Y,N,116
62001,"Nunavut","Nunavut"," 5","Taloyoak",N,N,"",1,508,"Anawak","","Jack Iyerak","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,64
62001,"Nunavut","Nunavut"," 5","Taloyoak",N,N,"",1,508,"Rocchi","","Spencer","Green Party","Parti Vert",N,N,1
62001,"Nunavut","Nunavut"," 5","Taloyoak",N,N,"",1,508,"Tootoo","","Hunter","Liberal","Libéral",N,Y,138
62001,"Nunavut","Nunavut"," 6","Clyde River",N,N,"",4,536,"Aglukkaq","","Leona","Conservative","Conservateur",Y,N,40
62001,"Nunavut","Nunavut"," 6","Clyde River",N,N,"",4,536,"Anawak","","Jack Iyerak","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,113
62001,"Nunavut","Nunavut"," 6","Clyde River",N,N,"",4,536,"Rocchi","","Spencer","Green Party","Parti Vert",N,N,2
62001,"Nunavut","Nunavut"," 6","Clyde River",N,N,"",4,536,"Tootoo","","Hunter","Liberal","Libéral",N,Y,166
62001,"Nunavut","Nunavut"," 7","Qikiqtarjuaq",N,N,"",0,375,"Aglukkaq","","Leona","Conservative","Conservateur",Y,N,95
62001,"Nunavut","Nunavut"," 7","Qikiqtarjuaq",N,N,"",0,375,"Anawak","","Jack Iyerak","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,36
62001,"Nunavut","Nunavut"," 7","Qikiqtarjuaq",N,N,"",0,375,"Rocchi","","Spencer","Green Party","Parti Vert",N,N,4
62001,"Nunavut","Nunavut"," 7","Qikiqtarjuaq",N,N,"",0,375,"Tootoo","","Hunter","Liberal","Libéral",N,Y,50
62001,"Nunavut","Nunavut"," 8A","Igloolik",N,N,"",0,455,"Aglukkaq","","Leona","Conservative","Conservateur",Y,N,66
62001,"Nunavut","Nunavut"," 8A","Igloolik",N,N,"",0,455,"Anawak","","Jack Iyerak","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,207
62001,"Nunavut","Nunavut"," 8A","Igloolik",N,N,"",0,455,"Rocchi","","Spencer","Green Party","Parti Vert",N,N,3
