Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35081,"Parkdale--High Park","Parkdale--High Park"," 1","Toronto",N,N,"",2,357,"Allen","","Ian","Conservative","Conservateur",N,N,12
35081,"Parkdale--High Park","Parkdale--High Park"," 1","Toronto",N,N,"",2,357,"Gershuny","","Lorne","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35081,"Parkdale--High Park","Parkdale--High Park"," 1","Toronto",N,N,"",2,357,"Jeftovic","","Mark","Libertarian","Libertarien",N,N,1
35081,"Parkdale--High Park","Parkdale--High Park"," 1","Toronto",N,N,"",2,357,"Nash","","Peggy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,N,117
35081,"Parkdale--High Park","Parkdale--High Park"," 1","Toronto",N,N,"",2,357,"Parker","","Terry","Radical Marijuana","Radical Marijuana",N,N,0
35081,"Parkdale--High Park","Parkdale--High Park"," 1","Toronto",N,N,"",2,357,"Phipps","","Adam","Green Party","Parti Vert",N,N,8
35081,"Parkdale--High Park","Parkdale--High Park"," 1","Toronto",N,N,"",2,357,"Royer","","Carol","Independent","Indépendant",N,N,1
35081,"Parkdale--High Park","Parkdale--High Park"," 1","Toronto",N,N,"",2,357,"Virani","","Arif","Liberal","Libéral",N,Y,61
35081,"Parkdale--High Park","Parkdale--High Park"," 2","Toronto",N,N,"",0,384,"Allen","","Ian","Conservative","Conservateur",N,N,8
35081,"Parkdale--High Park","Parkdale--High Park"," 2","Toronto",N,N,"",0,384,"Gershuny","","Lorne","Marxist-Leninist","Marxiste-Léniniste",N,N,4
35081,"Parkdale--High Park","Parkdale--High Park"," 2","Toronto",N,N,"",0,384,"Jeftovic","","Mark","Libertarian","Libertarien",N,N,1
35081,"Parkdale--High Park","Parkdale--High Park"," 2","Toronto",N,N,"",0,384,"Nash","","Peggy","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",Y,N,109
35081,"Parkdale--High Park","Parkdale--High Park"," 2","Toronto",N,N,"",0,384,"Parker","","Terry","Radical Marijuana","Radical Marijuana",N,N,2
35081,"Parkdale--High Park","Parkdale--High Park"," 2","Toronto",N,N,"",0,384,"Phipps","","Adam","Green Party","Parti Vert",N,N,6
