Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35110,"University--Rosedale","University--Rosedale"," 1","Toronto",N,N,"",1,340,"Berlin","","David","The Bridge","Le Lien",N,N,0
35110,"University--Rosedale","University--Rosedale"," 1","Toronto",N,N,"",1,340,"Freeland","","Chrystia","Liberal","Libéral",Y,Y,96
35110,"University--Rosedale","University--Rosedale"," 1","Toronto",N,N,"",1,340,"Garvie","","Drew","Communist","Communiste",N,N,0
35110,"University--Rosedale","University--Rosedale"," 1","Toronto",N,N,"",1,340,"Hollett","","Jennifer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,20
35110,"University--Rosedale","University--Rosedale"," 1","Toronto",N,N,"",1,340,"Jivraj","","Karim","Conservative","Conservateur",N,N,51
35110,"University--Rosedale","University--Rosedale"," 1","Toronto",N,N,"",1,340,"Luisi","","Simon","Animal Alliance/Environment Voters","Animal Alliance/Environment Voters",N,N,0
35110,"University--Rosedale","University--Rosedale"," 1","Toronto",N,N,"",1,340,"Rutchinski","","Steve","Marxist-Leninist","Marxiste-Léniniste",N,N,1
35110,"University--Rosedale","University--Rosedale"," 1","Toronto",N,N,"",1,340,"Waslowski","","Jesse","Libertarian","Libertarien",N,N,2
35110,"University--Rosedale","University--Rosedale"," 1","Toronto",N,N,"",1,340,"Wright","","Nick","Green Party","Parti Vert",N,N,6
35110,"University--Rosedale","University--Rosedale"," 2","Toronto",N,N,"",1,432,"Berlin","","David","The Bridge","Le Lien",N,N,0
